iter	Logloss
0	0.6871952793
1	0.6799149708
2	0.6733719796
3	0.666689703444	0.662364280655	0.658119273166	0.653013818677	0.647673341688	0.641952028999	0.6374672496110	0.6321048252111	0.6290047023112	0.6248901256113	0.619826148
14	0.6159063667
15	0.6126433117
16	0.6107092297
17	0.6078835229
18	0.603706363
19	0.6010497499
20	0.5977489325
21	0.5940731319
22	0.5922586052
23	0.5898806081
24	0.5885114882
25	0.5867521926
26	0.5858442253
27	0.5838821457
28	0.5820659788
29	0.5802591077
30	0.5781011235
31	0.57712505
32	0.5747634223
33	0.5736997353
34	0.5714880233
35	0.5705353747
36	0.5694903918
37	0.5684897081
38	0.5669712208
39	0.5655517725
40	0.5637040057
41	0.5625309147
42	0.5611307472
43	0.560752208
44	0.5602414967
45	0.5591380179
46	0.5586390624
47	0.5574934123
48	0.5565916674
49	0.5558165708
50	0.5551421008
51	0.5542584312
52	0.553336666
53	0.5523404287
54	0.5515612483
55	0.5501632729
56	0.5500167261
57	0.5495257987
58	0.5487045194
59	0.5471827524
60	0.5463328465
61	0.5458849007
62	0.5445649488
63	0.5435610581
64	0.5429925049
65	0.5424071915
66	0.5418055158
67	0.540950133
68	0.5402269567
69	0.5399618433
70	0.5394586715
71	0.5381288185
72	0.5372417895
73	0.5367664724
74	0.5360732881
75	0.535224494
76	0.534753855
77	0.5336885855
78	0.5332980259
79	0.5328648588
80	0.5325902699
81	0.5320852176
82	0.5315089394
83	0.530889882
84	0.5303962289
85	0.5300971085
86	0.5300149695
87	0.5300149693
88	0.5292382741
89	0.5287814266
90	0.5285514298
91	0.5280111424
92	0.5271871451
93	0.5267957644
94	0.5265413032
95	0.5256720332
96	0.5253581041
97	0.5245477373
98	0.5241125976
99	0.5235575504
100	0.5231824251
101	0.5223288056
102	0.5220522484
103	0.5215446307
104	0.5210740971
105	0.5205771171
106	0.5202158425
107	0.5194607625
108	0.5188444305
109	0.5183070453
110	0.5175468135
111	0.5175239902
112	0.5172747616
113	0.516773187
114	0.5164611097
115	0.5163281974
116	0.516038147
117	0.515663657
118	0.5153437275
119	0.5150399263
120	0.5145963184
121	0.5144560393
122	0.5140653943
123	0.513709683
124	0.5133506692
125	0.5132388479
126	0.5126747332
127	0.5121430277
128	0.5115913419
129	0.5115353649
130	0.5113286452
131	0.5109141308
132	0.5103154262
133	0.5102093967
134	0.5095404993
135	0.5091512378
136	0.5088554841
137	0.5087641885
138	0.5084711655
139	0.508350605
140	0.5082794189
141	0.5078388189
142	0.5074325927
143	0.5070819493
144	0.5069629274
145	0.5067042344
146	0.5064140206
147	0.5062203471
148	0.5061472738
149	0.5060815789
150	0.5057936997
151	0.5050962578
152	0.5047644308
153	0.5046768807
154	0.5043561459
155	0.5041801011
156	0.5035816865
157	0.5032920566
158	0.5028901394
159	0.5026074686
160	0.50236426261161	0.50221309611162	0.502213093
163	0.5022130901
164	0.501952125
165	0.5017933803
166	0.5014932881
167	0.5011910931
168	0.5007301765
169	0.5004563219
170	0.5003482149
171	0.50011532617172	0.49987668317173	0.49965018117174	0.49927904217175	0.499271
176	0.4989387826
177	0.4988994934
178	0.4985748752
179	0.4983878858
180	0.4983878858
181	0.4980913448
182	0.4980913446
183	0.497387139
184	0.4972192271
185	0.4971046358
186	0.4968944578
187	0.4968740042
188	0.4963513646
189	0.4961135992
190	0.4961135982
191	0.4958768885
192	0.4955682318
193	0.4953123171
194	0.4951224144
195	0.4947487107
196	0.4946208834
197	0.4944245143
198	0.4939486783
199	0.4936905428
200	0.4935998742
201	0.4932170578
202	0.4932165432
203	0.4928919141
204	0.4924468235
205	0.4922767519
206	0.4922767517
207	0.4916077526
208	0.4915680716
209	0.49133271672210	0.49118074242211	0.49094105612212	0.49078698172213	0.49052858421214	0.49027447221215	0.48979129721216	0.48951066321217	0.48920942218218	0.48892074219219	0.48850184220220	0.48850144221221	0.48850144222222	0.48812151223223	0.48788506224224	0.4876309225	225	0.4874079226	226	0.4869909227	227	0.4869857228	228	0.4867123229229	0.48629285230230	0.48612639231231	0.48601974232232	0.48559644233233	0.4854140523234	0.48538301323235	0.48486179223236	0.48486179123237	0.48486179238238	0.48469964239239	0.48441193240240	0.4844119324241	0.48432197724242	0.48419683824243	0.48412128224244	0.4841123742245	0.48411193822246	0.48411157524247	0.48365379724248	0.48335382424249	0.48300739250250	0.4827121425251	0.48227944325252	0.48214063925253	0.48133906525254	0.48090811925255	0.48047770725256	0.48047770625257	0.48037977325258	0.48027874525259	0.47961834126260	0.4794003112261	0.47926192972262	0.47921598432263	0.479000135
264	0.4782844067
265	0.4782217869
266	0.4780971711
267	0.4777802863
268	0.4776347037
269	0.4776347016
270	0.4774459615
271	0.477285517
272	0.4770338481
273	0.4767841686
274	0.4764318971
275	0.4758786978
276	0.4757934654
277	0.4755480641
278	0.4753725661
279	0.4750007964
280	0.4746539598
281	0.4739338906
282	0.4736478759
283	0.4733155294
284	0.4732782617
285	0.47297569412286	0.47279732328287	0.47275097728288	0.47232339289289	0.47211246290290	0.47197590291291	0.47152917292292	0.47137785293293	0.47137544294294	0.47107226295295	0.47073238296296	0.47035547297297	0.47010762298298	0.47005515299299	0.4697850430300	0.46958257530301	0.46940381830302	0.46932237230303	0.46915350930304	0.46900877330305	0.46883033530306	0.46854970930307	0.46827622030308	0.4679720643309	0.46783396673310	0.46755295383311	0.46732161563312	0.46725739483313	0.46725604913314	0.46684160153315	0.46651063583316	0.46593119
317	0.4658758082
318	0.4656283613
319	0.4653311355
320	0.4650668547
321	0.4648131112
322	0.4646323331
323	0.4644568167
324	0.4635559288
325	0.4633085933
326	0.4631379251
327	0.4627167015
328	0.4623607676
329	0.4618437598
330	0.4611330991
331	0.4606576965
332	0.4602686907
333	0.4599505719
334	0.4594631581
335	0.4587243532
336	0.4583145251
337	0.4580746474
338	0.4578391575
339	0.4577703959
340	0.4576467622
341	0.4572656097
342	0.4570526494
343	0.4568386
344	0.4565873324
345	0.4560008929
346	0.455703514
347	0.4553066064
348	0.4549152643
349	0.4545079316
350	0.4539509072
351	0.4534010877
352	0.4531480384
353	0.4524630874
354	0.4521827284
355	0.4518931815
356	0.4512129051
357	0.4509348809
358	0.4505065935
359	0.45013636193360	0.44985976493361	0.44961538043362	0.44952262243363	0.44927538813364	0.44889060536365	0.4485797923366	0.44834027883367	0.44805872343368	0.44771700293369	0.4471527133370	0.44671257653371	0.44609516773372	0.44562614433373	0.4453239693374	0.444855133
375	0.4443210039
376	0.444026931
377	0.4439333303
378	0.4437641215
379	0.44357165853380	0.44343211933381	0.44301142163382	0.44266055323383	0.442165977
384	0.4418333526
385	0.44143268323386	0.44086427423387	0.4403412563388	0.44012401153389	0.439805889
390	0.4391481485
391	0.4387624535
392	0.4385113578
