iter	Passed	Remaining
0	146	146717
1	198	99124
2	259	86094
3	312	77719
4	375	74716
5	415	68757
6	477	67696
7	514	63779
8	571	62898
9	633	62703
10	684	61575
11	745	61389
12	798	60620
13	868	61173
14	917	60262
15	979	60227
16	1028	59488
17	1099	59987
18	1186	61237
19	1322	64788
20	1378	64276
21	1437	63893
22	1504	63889
23	1558	63389
24	1622	63260
25	1682	63044
26	1743	62821
27	1799	62468
28	1856	62169
29	1917	61984
30	1957	61181
31	2030	61414
32	2083	61043
33	2148	61048
34	2204	60792
35	2270	60793
36	2335	60785
37	2396	60677
38	2464	60738
39	2522	60539
40	2597	60750
41	2657	60621
42	2733	60830
43	2779	60396
44	2822	59898
45	2888	59905
46	2947	59766
47	3007	59645
48	3063	59447
49	3127	59414
50	3172	59033
51	3232	58930
52	3288	58760
53	3361	58886
54	3415	58686
55	3487	58795
56	3536	58509
57	3598	58442
58	3668	58517
59	3731	58464
60	3798	58471
61	3842	58127
62	3912	58183
63	3975	58135
64	4044	58171
65	4106	58106
66	4180	58210
67	4241	58131
68	4308	58126
69	4372	58085
70	4436	58049
71	4509	58122
72	4563	57944
73	4640	58068
74	4698	57949
75	4770	57995
76	4825	57848
77	4892	57827
78	4954	57764
79	5018	57714
80	5096	57824
81	5162	57795
82	5229	57778
83	5286	57651
84	5361	57715
85	5414	57547
86	5477	57481
87	5525	57264
88	5598	57308
89	5650	57135
90	5710	57046
91	5778	57031
92	5835	56915
93	5910	56969
94	5967	56849
95	6051	56985
96	6101	56803
97	6176	56847
98	6234	56740
99	6304	56736
100	6363	56643
101	6427	56591
102	6497	56584
103	6553	56461
104	6619	56420
105	6679	56330
106	6759	56413
107	6817	56306
108	6886	56290
109	6949	56231
110	7029	56299
111	7084	56168
112	7149	56122
113	7221	56121
114	7277	56003
115	7342	55956
116	7401	55856
117	7496	56030
118	7596	56236
119	7691	56404
120	7763	56400
121	7842	56439
122	7930	56544
123	7976	56352
124	8044	56313
125	8107	56236
126	8174	56193
127	8227	56049
128	8286	55950
129	8340	55818
130	8402	55738
131	8480	55764
132	8543	55694
133	8621	55715
134	8671	55564
135	8754	55616
136	8811	55504
137	8870	55410
138	8948	55429
139	9015	55380
140	9115	55536
141	9173	55427
142	9235	55347
143	9292	55239
144	9358	55182
145	9422	55115
146	9497	55111
147	9564	55062
148	9627	54988
149	9691	54918
150	9759	54874
151	9839	54894
152	9901	54812
153	9982	54837
154	10030	54683
155	10109	54693
156	10161	54560
157	10242	54583
158	10302	54491
159	10360	54391
160	10426	54336
161	10471	54166
162	10532	54086
163	10580	53932
164	10662	53959
165	10718	53851
166	10795	53849
167	10859	53781
168	10932	53755
169	10988	53651
170	11048	53561
171	11141	53632
172	11202	53549
173	11278	53540
174	11338	53454
175	11404	53395
176	11479	53378
177	11524	53222
178	11593	53175
179	11656	53101
180	11712	52997
181	11781	52951
182	11839	52857
183	11893	52743
184	11978	52769
185	12034	52669
186	12097	52596
187	12157	52511
188	12222	52447
189	12275	52332
190	12330	52227
191	12409	52221
192	12474	52158
193	12537	52088
194	12592	51985
195	12671	51978
196	12709	51804
197	12767	51713
198	12832	51651
199	12908	51632
200	12951	51483
201	13020	51436
202	13049	51234
203	13116	51178
204	13197	51179
205	13271	51152
206	13336	51090
207	13396	51010
208	13469	50977
209	13535	50918
210	13593	50831
211	13667	50801
212	13746	50792
213	13802	50695
214	13856	50591
215	13938	50590
216	14000	50517
217	14074	50487
218	14121	50359
219	14205	50365
220	14252	50239
221	14307	50140
222	14380	50105
223	14460	50096
224	14528	50043
225	14587	49957
226	14660	49923
227	14705	49792
228	14787	49787
229	14845	49701
230	14923	49679
231	14980	49589
232	15057	49566
233	15114	49477
234	15193	49458
235	15258	49395
236	15308	49283
237	15368	49204
238	15425	49116
239	15495	49068
240	15530	48910
241	15606	48883
242	15664	48799
243	15713	48685
244	15779	48625
245	15836	48538
246	15902	48478
247	15956	48383
248	16035	48363
249	16088	48265
250	16156	48211
251	16214	48128
252	16296	48115
253	16328	47958
254	16407	47936
255	16471	47869
256	16528	47784
257	16594	47724
258	16666	47683
259	16744	47657
260	16803	47578
261	16872	47525
262	16913	47396
263	16998	47389
264	17055	47305
265	17124	47253
266	17207	47240
267	17284	47209
268	17342	47128
269	17394	47029
270	17504	47088
271	17573	47034
272	17654	47013
273	17729	46977
274	17794	46911
275	17847	46818
276	17926	46790
277	17989	46720
278	18061	46673
279	18128	46615
280	18221	46623
281	18285	46555
282	18359	46515
283	18437	46484
284	18498	46407
285	18577	46379
286	18653	46340
287	18736	46321
288	18804	46262
289	18880	46224
290	18943	46153
291	19017	46109
292	19082	46045
293	19141	45966
294	19242	45986
295	19330	45974
296	19400	45921
297	19472	45871
298	19555	45848
299	19617	45774
300	19696	45739
301	19766	45686
302	19855	45673
303	19918	45603
304	19997	45567
305	20076	45533
306	20146	45476
307	20234	45462
308	20330	45464
309	20427	45466
310	20507	45433
311	20600	45427
312	20676	45382
313	20758	45352
314	20831	45301
315	20910	45261
316	20992	45230
317	21066	45179
318	21150	45152
319	21226	45107
320	21324	45107
321	21394	45048
322	21480	45021
323	21556	44975
324	21643	44951
325	21710	44886
326	21807	44881
327	21884	44835
328	21968	44805
329	22039	44746
330	22113	44694
331	22197	44661
332	22276	44620
333	22369	44604
334	22445	44555
335	22526	44515
336	22609	44481
337	22743	44545
338	22806	44470
339	22888	44431
340	22959	44371
341	23049	44347
342	23123	44292
343	23197	44236
344	23280	44198
345	23371	44176
346	23457	44143
347	23525	44075
348	23607	44035
349	23670	43959
350	23746	43907
351	23815	43841
352	23899	43803
353	23978	43756
354	24060	43715
355	24129	43650
356	24204	43595
357	24286	43552
358	24375	43522
359	24454	43474
360	24526	43413
361	24601	43358
362	24671	43294
363	24748	43242
364	24818	43177
365	24889	43114
366	24971	43070
367	25045	43012
368	25131	42976
369	25198	42904
370	25293	42883
371	25381	42848
372	25473	42820
373	25539	42748
374	25615	42692
375	25686	42629
376	25757	42564
377	25837	42515
378	25907	42450
379	25992	42408
380	26066	42350
381	26151	42308
382	26220	42239
383	26315	42214
384	26432	42222
385	26511	42171
386	26585	42110
387	26654	42043
388	26729	41984
389	26806	41928
390	26874	41857
391	26943	41790
392	27031	41750
393	27097	41677
394	27182	41633
395	27245	41555
396	27325	41505
397	27385	41422
398	27510	41438
399	27590	41386
400	27671	41334
401	27741	41267
402	27801	41184
403	27881	41131
404	27956	41071
405	28032	41013
406	28109	40956
407	28187	40898
408	28251	40822
409	28336	40776
410	28412	40717
411	28519	40702
412	28598	40647
413	28666	40575
414	28751	40529
415	28812	40448
416	28885	40384
417	28958	40320
418	29051	40283
419	29130	40227
420	29207	40168
421	29283	40108
422	29359	40047
423	29438	39992
424	29532	39955
425	29613	39902
426	29680	39828
427	29756	39767
428	29830	39703
429	29918	39659
430	29990	39593
431	30070	39536
432	30148	39478
433	30223	39416
434	30304	39360
435	30376	39294
436	30460	39243
437	30556	39207
438	30640	39155
439	30712	39089
440	30798	39039
441	30865	38965
442	30939	38901
443	31013	38836
444	31088	38772
445	31166	38714
446	31242	38651
447	31329	38602
448	31393	38525
449	31480	38475
450	31580	38442
451	31670	38396
452	31736	38321
453	31820	38268
454	31891	38199
455	31968	38138
456	32053	38085
457	32125	38017
458	32214	37969
459	32277	37890
460	32364	37840
461	32436	37772
462	32519	37716
463	32618	37680
464	32696	37618
465	32770	37552
466	32846	37488
467	32929	37432
468	33004	37368
469	33088	37312
470	33152	37235
471	33233	37176
472	33300	37102
473	33395	37058
474	33461	36983
475	33543	36926
476	33641	36885
477	33724	36829
478	33802	36766
479	33870	36693
480	33966	36649
481	34039	36582
482	34132	36535
483	34201	36462
484	34281	36402
485	34356	36336
486	34439	36277
487	34514	36211
488	34600	36156
489	34701	36117
490	34777	36052
