iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6634748904	0.729068714	0.6708293417
1	0.6406195458	0.730844969	0.6687423019
2	0.6247816122	0.7310531414	0.6784932257
3	0.6112786879	0.7301778076	0.6805460517
4	0.5955298498	0.7322352217	0.6895784864
5	0.5861640324	0.7324704814	0.6895271657
6	0.5757786667	0.7330468229	0.691100999
7	0.5670811508	0.7332109332	0.6901772273
8	0.5626108844	0.7336632818	0.6925037635
9	0.5574496272	0.7335246578	0.6917510606
10	0.5521148838	0.7330942896	0.6929143287
11	0.5472490224	0.7352263926	0.6988846312
12	0.5429721421	0.7363825478	0.6956343233
13	0.5407947236	0.7365429835	0.6937183523
14	0.5380383705	0.7375041314	0.6952750787
15	0.5355165286	0.738281026	0.6947618722
16	0.5333536038	0.7413156513	0.692572191
17	0.5312159324	0.7416220941	0.6946250171
18	0.5295021139	0.7426050874	0.6947447653
19	0.5272582345	0.7444689939	0.6967633776
20	0.525700564	0.7460009715	0.6984056384
21	0.5240789451	0.745895183	0.6979608594
22	0.5228847546	0.7465608108	0.6967462707
23	0.5215904218	0.7472885364	0.6988504174
24	0.5205156651	0.7469183274	0.6991412344
25	0.5194292703	0.7473450885	0.6994491583
26	0.5185766241	0.7476842655	0.6981148214
27	0.5172800306	0.7484703129	0.6988504174
28	0.5160764373	0.7486271752	0.6996373341
29	0.5154992396	0.7480253474	0.6997399754
30	0.514151653	0.748514105	0.6996715478
31	0.5136725321	0.7485687859	0.6985424935
32	0.5127966921	0.749577333	0.6994491583
33	0.5121694559	0.7494861756	0.7005097851
34	0.5116889037	0.7497396735	0.7004926783
35	0.510534068	0.7504837662	0.7009032435
36	0.5095748644	0.750591392	0.7018441221
37	0.5088825834	0.7514066341	0.7031271384
38	0.508459061	0.751353723	0.7022889011
39	0.5078340841	0.7521105758	0.7024770768
40	0.5075960448	0.7526321689	0.7027165731
41	0.5069766557	0.7524789813	0.7029218558
42	0.5061429314	0.7526887209	0.7033153141
43	0.5058236016	0.7529714135	0.7038456275
44	0.5056023159	0.752827345	0.704068017
45	0.5049219386	0.7537684173	0.70509443
46	0.5045108004	0.7537866556	0.7051286438
47	0.5037196701	0.7543739198	0.705983988
48	0.503595485	0.7546730133	0.7060524155
49	0.5030947464	0.7546091795	0.7059326673
50	0.502796831	0.7550268214	0.7062234843
51	0.5025621895	0.7555666528	0.7064971945
52	0.50245828	0.7553587504	0.7065998358
53	0.5015626094	0.7562542273	0.7075407144
54	0.5012393018	0.7559113755	0.7078828521
55	0.5008551014	0.7555794465	0.7075065006
56	0.5005524534	0.7558694209	0.7075578213
57	0.5002157978	0.7559204947	0.7078999589
58	0.4999068109	0.7564293278	0.7083618448
59	0.4998465832	0.756279781	0.708327631
60	0.4996231156	0.7565113998	0.7085158068
61	0.4992036001	0.7565478763	0.7085842343
62	0.4991164647	0.7561047143	0.7087381963
63	0.4983240622	0.7561065516	0.7092342959
64	0.4982936485	0.7565004771	0.7092342959
65	0.4982658037	0.7566409047	0.7092514028
66	0.4981219126	0.7569308791	0.7093027234
67	0.498070595	0.7571351405	0.7094395785
68	0.4978900385	0.7569272382	0.7095422198
69	0.4978602548	0.7568324061	0.7096106473
70	0.497683708	0.7572044525	0.7098159299
71	0.4975112565	0.7571624978	0.7094908991
72	0.4975112563	0.7571624978	0.7094908991
