iter	Passed	Remaining
0	87	87727
1	123	61620
2	149	49841
3	173	43258
4	205	40867
5	230	38220
6	265	37727
7	314	39039
8	350	38554
9	389	38514
10	423	38104
11	455	37483
12	485	36837
13	515	36330
14	542	35598
15	566	34863
16	594	34384
17	623	34001
18	643	33244
19	667	32704
20	691	32236
21	718	31940
22	748	31794
23	770	31317
24	798	31156
25	830	31107
26	856	30848
27	885	30728
28	912	30549
29	940	30401
30	967	30228
31	988	29898
32	1045	30648
33	1099	31243
34	1155	31860
35	1204	32259
36	1235	32167
37	1259	31877
38	1284	31647
39	1318	31654
40	1344	31450
41	1368	31210
42	1396	31076
43	1418	30819
44	1436	30477
45	1460	30293
46	1495	30324
47	1541	30582
48	1573	30533
49	1607	30540
50	1647	30649
51	1695	30901
52	1717	30685
53	1750	30658
54	1782	30628
55	1808	30490
56	1828	30254
57	1859	30196
58	1883	30048
59	1899	29754
60	1919	29545
61	1941	29371
62	1964	29218
63	1986	29059
64	2003	28816
65	2015	28522
66	2044	28473
67	2061	28251
68	2088	28178
69	2105	27973
70	2133	27917
71	2158	27823
72	2166	27514
73	2192	27435
74	2221	27396
75	2247	27325
76	2267	27175
77	2294	27125
78	2310	26936
79	2342	26935
80	2374	26939
81	2405	26934
82	2429	26841
83	2453	26749
84	2482	26725
85	2510	26685
86	2528	26530
87	2551	26446
88	2570	26315
89	2598	26269
90	2622	26193
91	2645	26112
92	2671	26057
93	2688	25908
94	2705	25777
95	2730	25716
96	2757	25668
97	2792	25702
98	2810	25580
99	2823	25412
100	2851	25384
101	2880	25362
102	2908	25327
103	2935	25289
104	2958	25215
105	2986	25186
106	3011	25132
107	3019	24938
108	3033	24799
109	3061	24771
110	3088	24732
111	3112	24677
112	3131	24580
113	3159	24559
114	3181	24486
115	3206	24436
116	3230	24377
117	3255	24332
118	3276	24257
119	3300	24200
120	3323	24146
121	3347	24092
122	3370	24035
123	3409	24088
124	3438	24066
125	3468	24058
126	3497	24039
127	3527	24031
128	3557	24017
129	3585	23996
130	3614	23977
131	3641	23944
132	3669	23922
133	3702	23925
134	3733	23923
135	3769	23947
136	3797	23921
137	3842	24003
138	3882	24050
139	3931	24149
140	3978	24239
141	4050	24476
142	4075	24421
143	4097	24357
144	4126	24332
145	4161	24339
146	4189	24312
147	4216	24272
148	4248	24265
149	4280	24257
150	4328	24339
151	4389	24487
152	4449	24633
153	4493	24684
154	4546	24787
155	4603	24906
156	4631	24870
157	4660	24835
158	4686	24788
159	4718	24774
160	4754	24777
161	4785	24752
162	4811	24707
163	4839	24671
164	4872	24657
165	4901	24623
166	4927	24576
167	4955	24543
168	4986	24517
169	5024	24532
170	5059	24529
171	5085	24482
172	5112	24440
173	5142	24411
174	5170	24374
175	5201	24351
176	5232	24327
177	5260	24291
178	5289	24261
179	5319	24232
180	5344	24182
181	5372	24144
182	5402	24119
183	5435	24103
184	5475	24122
185	5509	24109
186	5534	24061
187	5562	24026
188	5592	23999
189	5624	23977
190	5653	23947
191	5684	23922
192	5717	23904
193	5746	23873
194	5777	23850
195	5804	23812
196	5835	23786
197	5863	23751
198	5890	23712
199	5921	23687
200	5953	23667
201	5984	23641
202	6011	23602
203	6047	23596
204	6076	23565
205	6114	23566
206	6143	23535
207	6170	23494
208	6197	23456
209	6223	23414
210	6254	23386
211	6276	23330
212	6303	23288
213	6335	23268
214	6363	23233
215	6390	23193
216	6417	23156
217	6452	23147
218	6487	23135
219	6516	23102
220	6552	23097
221	6584	23075
222	6607	23022
223	6635	22987
224	6668	22968
225	6696	22933
226	6721	22890
227	6747	22847
228	6775	22811
229	6806	22788
230	6834	22753
231	6859	22708
232	6891	22687
233	6921	22656
234	6951	22628
235	6984	22610
236	7012	22575
237	7047	22564
238	7077	22536
239	7104	22496
240	7136	22474
241	7172	22465
242	7201	22433
243	7235	22417
244	7261	22377
245	7282	22322
246	7310	22286
247	7341	22260
248	7371	22233
249	7400	22202
250	7433	22181
251	7481	22205
252	7514	22187
253	7542	22153
254	7575	22132
255	7605	22102
256	7642	22095
257	7672	22066
258	7704	22042
259	7731	22003
260	7761	21976
261	7783	21925
262	7815	21901
263	7840	21858
264	7869	21827
