state,district,date,total,active,recovered,deceased
Jharkhand,Deogarh,03-30-2020,0,0,0,0
Jharkhand,Deogarh,03-31-2020,0,0,0,0
Jharkhand,Deogarh,04-01-2020,0,0,0,0
Jharkhand,Deogarh,04-02-2020,0,0,0,0
Jharkhand,Deogarh,04-03-2020,0,0,0,0
Jharkhand,Deogarh,04-04-2020,0,0,0,0
Jharkhand,Deogarh,04-05-2020,0,0,0,0
Jharkhand,Deogarh,04-06-2020,0,0,0,0
Jharkhand,Deogarh,04-07-2020,0,0,0,0
Jharkhand,Deogarh,04-08-2020,0,0,0,0
Jharkhand,Deogarh,04-09-2020,0,0,0,0
Jharkhand,Deogarh,04-10-2020,0,0,0,0
Jharkhand,Deogarh,04-11-2020,0,0,0,0
Jharkhand,Deogarh,04-12-2020,0,0,0,0
Jharkhand,Deogarh,04-13-2020,0,0,0,0
Jharkhand,Deogarh,04-14-2020,0,0,0,0
Jharkhand,Deogarh,04-15-2020,0,0,0,0
Jharkhand,Deogarh,04-16-2020,0,0,0,0
Jharkhand,Deogarh,04-17-2020,0,0,0,0
Jharkhand,Deogarh,04-18-2020,0,0,0,0
Jharkhand,Deogarh,04-19-2020,0,0,0,0
Jharkhand,Deogarh,04-20-2020,0,0,0,0
Jharkhand,Deogarh,04-21-2020,0,0,0,0
Jharkhand,Deogarh,04-22-2020,0,0,0,0
Jharkhand,Deogarh,04-23-2020,1,1,0,0
Jharkhand,Deogarh,04-24-2020,2,2,0,0
Jharkhand,Deogarh,04-25-2020,2,2,0,0
Jharkhand,Deogarh,04-26-2020,2,2,0,0
Jharkhand,Deogarh,04-27-2020,2,2,0,0
Jharkhand,Deogarh,04-28-2020,2,2,0,0
Jharkhand,Deogarh,04-29-2020,2,2,0,0
Jharkhand,Deogarh,04-30-2020,2,2,0,0
Jharkhand,Deogarh,05-01-2020,2,2,0,0
Jharkhand,Deogarh,05-02-2020,4,4,0,0
Jharkhand,Deogarh,05-03-2020,4,2,2,0
Jharkhand,Deogarh,05-04-2020,4,2,2,0
Jharkhand,Deogarh,05-05-2020,4,2,2,0
Jharkhand,Deogarh,05-06-2020,4,2,2,0
Jharkhand,Deogarh,05-07-2020,4,2,2,0
Jharkhand,Deogarh,05-08-2020,4,2,2,0
Jharkhand,Deogarh,05-09-2020,4,2,2,0
Jharkhand,Deogarh,05-10-2020,4,2,2,0
Jharkhand,Deogarh,05-11-2020,4,2,2,0
Jharkhand,Deogarh,05-12-2020,4,2,2,0
Jharkhand,Deogarh,05-13-2020,4,2,2,0
Jharkhand,Deogarh,05-14-2020,4,2,2,0
Jharkhand,Deogarh,05-15-2020,4,2,2,0
Jharkhand,Deogarh,05-16-2020,4,0,4,0
Jharkhand,Deogarh,05-17-2020,5,1,4,0
Jharkhand,Deogarh,05-18-2020,5,1,4,0
Jharkhand,Deogarh,05-19-2020,5,1,4,0
Jharkhand,Deogarh,05-20-2020,5,1,4,0
Jharkhand,Deogarh,05-21-2020,5,1,4,0
Jharkhand,Deogarh,05-22-2020,5,1,4,0
Jharkhand,Deogarh,05-23-2020,5,0,5,0
Jharkhand,Deogarh,05-24-2020,5,0,5,0
Jharkhand,Deogarh,05-25-2020,5,0,5,0
Jharkhand,Deogarh,05-26-2020,5,0,5,0
Jharkhand,Deogarh,05-27-2020,5,0,5,0
Jharkhand,Deogarh,05-28-2020,5,0,5,0
Jharkhand,Deogarh,05-29-2020,5,0,5,0
Jharkhand,Deogarh,05-30-2020,5,0,5,0
Jharkhand,Deogarh,05-31-2020,5,0,5,0
Jharkhand,Deogarh,06-01-2020,5,0,5,0
Jharkhand,Deogarh,06-02-2020,5,0,5,0
Jharkhand,Deogarh,06-03-2020,5,0,5,0
Jharkhand,Deogarh,06-04-2020,5,0,5,0
Jharkhand,Deogarh,06-05-2020,5,0,5,0
Jharkhand,Deogarh,06-06-2020,5,0,5,0
Jharkhand,Deogarh,06-07-2020,5,0,5,0
Jharkhand,Deogarh,06-08-2020,5,0,5,0
Jharkhand,Deogarh,06-09-2020,10,5,5,0
Jharkhand,Deogarh,06-10-2020,10,5,5,0
Jharkhand,Deogarh,06-11-2020,10,5,5,0
Jharkhand,Deogarh,06-12-2020,10,5,5,0
Jharkhand,Deogarh,06-13-2020,10,0,10,0
Jharkhand,Deogarh,06-14-2020,10,0,10,0
Jharkhand,Deogarh,06-15-2020,10,0,10,0
Jharkhand,Deogarh,06-16-2020,10,0,10,0
Jharkhand,Deogarh,06-17-2020,10,0,10,0
Jharkhand,Deogarh,06-18-2020,10,0,10,0
Jharkhand,Deogarh,06-19-2020,10,0,10,0
Jharkhand,Deogarh,06-20-2020,10,0,10,0
Jharkhand,Deogarh,06-21-2020,10,0,10,0
Jharkhand,Deogarh,06-22-2020,21,11,10,0
Jharkhand,Deogarh,06-23-2020,32,22,10,0
Jharkhand,Deogarh,06-24-2020,32,22,10,0
Jharkhand,Deogarh,06-25-2020,33,23,10,0
Jharkhand,Deogarh,06-26-2020,37,27,10,0
Jharkhand,Deogarh,06-27-2020,40,30,10,0
Jharkhand,Deogarh,06-28-2020,41,11,30,0
Jharkhand,Deogarh,06-29-2020,41,11,30,0
Jharkhand,Deogarh,06-30-2020,42,12,30,0
Jharkhand,Deogarh,07-01-2020,44,14,30,0
Jharkhand,Deogarh,07-02-2020,44,10,34,0
Jharkhand,Deogarh,07-03-2020,47,12,45,0
Jharkhand,Deogarh,07-04-2020,47,12,45,0
Jharkhand,Deogarh,07-05-2020,49,14,35,0
Jharkhand,Deogarh,07-06-2020,50,15,35,0
Jharkhand,Deogarh,07-07-2020,51,13,38,0
Jharkhand,Deogarh,07-08-2020,54,13,41,0
Jharkhand,Deogarh,07-09-2020,55,14,41,0
Jharkhand,Deogarh,07-10-2020,60,17,43,0
Jharkhand,Deogarh,07-11-2020,60,17,43,0
Jharkhand,Deogarh,07-12-2020,62,19,43,0
Jharkhand,Deogarh,07-13-2020,65,19,45,1
Jharkhand,Deogarh,07-14-2020,85,39,45,1
Jharkhand,Deogarh,07-15-2020,88,42,45,1
Jharkhand,Deogarh,07-16-2020,89,41,47,1
Jharkhand,Deogarh,07-17-2020,89,39,49,1
Jharkhand,Deogarh,07-18-2020,90,33,56,1
Jharkhand,Deogarh,07-19-2020,108,51,56,1
Jharkhand,Deogarh,07-20-2020,112,48,63,1
Jharkhand,Deogarh,07-21-2020,113,49,63,1
Jharkhand,Deogarh,07-22-2020,120,48,71,1
Jharkhand,Deogarh,07-23-2020,146,74,71,1
Jharkhand,Deogarh,07-24-2020,147,73,73,1
Jharkhand,Deogarh,07-25-2020,147,73,73,1
Jharkhand,Deogarh,07-26-2020,148,74,73,1
Jharkhand,Deogarh,07-27-2020,149,64,84,1
Jharkhand,Deogarh,07-28-2020,157,72,84,1
Jharkhand,Deogarh,07-29-2020,186,101,84,1
Jharkhand,Deogarh,07-30-2020,187,101,84,2
Jharkhand,Deogarh,07-31-2020,193,107,84,2
Jharkhand,Deogarh,08-01-2020,324,238,84,2
Jharkhand,Deogarh,08-02-2020,486,400,84,2
Jharkhand,Deogarh,08-03-2020,500,414,84,2
Jharkhand,Deogarh,08-04-2020,509,423,84,2
Jharkhand,Deogarh,08-05-2020,509,423,84,2
Jharkhand,Deogarh,08-06-2020,544,387,155,2
Jharkhand,Deogarh,08-07-2020,579,344,233,2
Jharkhand,Deogarh,08-08-2020,594,356,236,2
Jharkhand,Deogarh,08-09-2020,607,257,348,2
Jharkhand,Deogarh,08-10-2020,621,213,405,3
Jharkhand,Deogarh,08-11-2020,650,241,405,4
Jharkhand,Deogarh,08-12-2020,660,217,438,5
Jharkhand,Deogarh,08-13-2020,713,207,501,5
Jharkhand,Deogarh,08-14-2020,725,199,521,5
Jharkhand,Deogarh,08-15-2020,739,152,580,7
Jharkhand,Deogarh,08-16-2020,748,152,589,7
Jharkhand,Deogarh,08-17-2020,799,155,637,7
Jharkhand,Deogarh,08-18-2020,809,139,663,7
Jharkhand,Deogarh,08-19-2020,841,137,695,9
Jharkhand,Deogarh,08-20-2020,970,205,756,9
Jharkhand,Deogarh,08-21-2020,990,150,831,9
Jharkhand,Deogarh,08-22-2020,1020,125,885,10
Jharkhand,Deogarh,08-23-2020,1032,112,910,10
Jharkhand,Deogarh,08-24-2020,1096,155,931,10
Jharkhand,Deogarh,08-25-2020,1104,102,992,10
Jharkhand,Deogarh,08-26-2020,1128,111,1007,10
Jharkhand,Deogarh,08-27-2020,1170,148,1011,11
Jharkhand,Deogarh,08-28-2020,1190,162,1017,11
Jharkhand,Deogarh,08-29-2020,1200,150,1039,11
Jharkhand,Deogarh,08-30-2020,1228,153,1064,11
Jharkhand,Deogarh,08-31-2020,1244,148,1085,11
Jharkhand,Deogarh,09-01-2020,1287,135,1141,11
Jharkhand,Deogarh,09-02-2020,1318,128,1179,11
Jharkhand,Deogarh,09-03-2020,1341,141,1189,11
Jharkhand,Deogarh,09-04-2020,1373,141,1220,12
Jharkhand,Deogarh,09-05-2020,1403,103,1288,12
Jharkhand,Deogarh,09-06-2020,1432,112,1308,12
Jharkhand,Deogarh,09-07-2020,1479,150,1317,12
Jharkhand,Deogarh,09-08-2020,1553,203,1337,13
Jharkhand,Deogarh,09-09-2020,1583,203,1367,13
Jharkhand,Deogarh,09-10-2020,1656,255,1388,13
Jharkhand,Deogarh,09-11-2020,1689,256,1420,13
Jharkhand,Deogarh,09-12-2020,1715,253,1448,14
Jharkhand,Deogarh,09-13-2020,1734,258,1462,14
Jharkhand,Deogarh,09-14-2020,1746,209,1523,14
Jharkhand,Deogarh,09-15-2020,1852,252,1586,14
Jharkhand,Deogarh,09-16-2020,1880,240,1626,14
Jharkhand,Deogarh,09-17-2020,1979,271,1694,14
Jharkhand,Deogarh,09-18-2020,2005,268,1723,14
Jharkhand,Deogarh,09-19-2020,2034,267,1753,14
Jharkhand,Deogarh,09-20-2020,2051,208,1829,14
Jharkhand,Deogarh,09-21-2020,2123,259,1850,14
Jharkhand,Deogarh,09-22-2020,2177,195,1967,15
Jharkhand,Deogarh,09-23-2020,2210,191,2004,15
Jharkhand,Deogarh,09-24-2020,2231,188,2028,15
Jharkhand,Deogarh,09-25-2020,2267,182,2070,15
Jharkhand,Deogarh,09-26-2020,2342,221,2106,15
Jharkhand,Deogarh,09-27-2020,2378,217,2146,15
