State,District,Ward/block name,Ward number (if applicable),Date,Total cases,Active cases,Mild cases (isolated),Moderate cases (hospitalized),Severe cases (In ICU),Critical cases (ventilated patients),Recovered cases,Fatalities
Name of city/district (string),city/district (string),Name of the ward (if city) or block (if reporting body is a district) for which details are being provided (string),Ward number for which details are being provided (integer),"Date, updated daily (mm-dd-yyyy)",cumulative cases in the region upto the date specified (integer),number of active cases as on date (integer),"number of active cases who are isolated in facilities, as on date (integer)",number of active cases who are currently hospitalized  or in covid health care centers (integer),number of active cases who are in intensive care units as on date (integer),number of active cases who are currently on ventilators as on date (integer),cumulative number of recovered cases as on date (integer),cumulative number of fatalities as on date (integer)
Mandatory,Mandatory,if available,If applicable,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory
,,,,,,,,,,,,
Maharashtra,Mumbai,,,04-11-2020,1182,1036,,,,,71,75
Maharashtra,Mumbai,,,04-12-2020,1399,1211,,,,,97,91
Maharashtra,Mumbai,,,04-13-2020,1549,1308,,,,,141,100
Maharashtra,Mumbai,,,04-14-2020,1753,1478,,,,,164,111
Maharashtra,Mumbai,,,04-15-2020,1936,1642,,,,,181,113
Maharashtra,Mumbai,,,04-16-2020,2043,1725,,,,,202,116
Maharashtra,Mumbai,,,04-17-2020,2120,1760,,,,,239,121
Maharashtra,Mumbai,,,04-18-2020,2509,2103,,,,,281,125
Maharashtra,Mumbai,,,04-19-2020,2798,2357,,,,,310,131
Maharashtra,Mumbai,,,04-20-2020,3050,2518,,,,,394,138
Maharashtra,Mumbai,,,04-21-2020,3445,2887,,,,,408,150
Maharashtra,Mumbai,,,04-22-2020,3754,3169,,,,,425,160
Maharashtra,Mumbai,,,04-23-2020,4232,3591,,,,,473,168
Maharashtra,Mumbai,,,04-24-2020,4589,3815,,,,,595,179
Maharashtra,Mumbai,,,04-25-2020,4870,3917,,,,,762,191
Maharashtra,Mumbai,,,04-26-2020,5194,4188,,,,,802,204
Maharashtra,Mumbai,,,04-27-2020,5589,4455,,,,,915,219
Maharashtra,Mumbai,,,04-28-2020,5982,4504,,,,,1234,244
Maharashtra,Mumbai,,,04-29-2020,6457,4760,,,,,1427,270
Maharashtra,Mumbai,,,04-30-2020,6874,5220,,,,,1364,290
Maharashtra,Mumbai,,,05-01-2020,7625,5871,,,,,1459,295
Maharashtra,Mumbai,,,05-02-2020,8172,6291,,,,,1559,322
Maharashtra,Mumbai,,,05-03-2020,8613,6466,,,,,1804,343
Maharashtra,Mumbai,,,05-04-2020,9123,6854,,,,,1908,361
Maharashtra,Mumbai,,,05-05-2020,9758,7243,,,,,2128,387
Maharashtra,Mumbai,,,05-06-2020,10527,7828,,,,,2287,412
Maharashtra,Mumbai,,,05-07-2020,11219,8347,,,,,2435,437
Maharashtra,Mumbai,,,05-08-2020,11967,8916,,,,,2589,462
Maharashtra,Mumbai,,,05-09-2020,12689,9408,,,,,2792,489
Maharashtra,Mumbai,,,05-10-2020,13564,10052,,,,,3004,508
Maharashtra,Mumbai,,,05-11-2020,14355,10717,,,,,3110,528
Maharashtra,Mumbai,,,05-12-2020,14781,10912,,,,,3313,556
Maharashtra,Mumbai,,,05-13-2020,15581,11194,,,,,3791,596
Maharashtra,Mumbai,,,05-14-2020,16579,11724,,,,,4234,621
Maharashtra,Mumbai,,,05-15-2020,17512,12289,,,,,4568,655
Maharashtra,Mumbai,,,05-16-2020,18396,12894,,,,,4806,696
Maharashtra,Mumbai,,,05-17-2020,19967,14221,,,,,5012,734
Maharashtra,Mumbai,,,05-18-2020,21152,14879,,,,,5516,757
Maharashtra,Mumbai,,,05-19-2020,22563,15647,,,,,6116,800
Maharashtra,Mumbai,,,05-20-2020,23935,16628,,,,,6466,841
Maharashtra,Mumbai,,,05-21-2020,25317,17684,,,,,6751,882
Maharashtra,Mumbai,,,05-22-2020,27068,19079,,,,,7080,909
Maharashtra,Mumbai,,,05-23-2020,28634,20209,,,,,7476,949
Maharashtra,Mumbai,,,05-24-2020,30359,21297,,,,,8074,988
Maharashtra,Mumbai,,,05-25-2020,31789,22359,,,,,8404,1026
Maharashtra,Mumbai,,,05-26-2020,32791,22912,,,,,8814,1065
Maharashtra,Mumbai,,,05-27-2020,33835,23684,,,,,9054,1097
Maharashtra,Mumbai,,,05-28-2020,35273,24321,,,,,9817,1135
Maharashtra,Mumbai,,,05-29-2020,36710,19529,,,,,16008,1173
Maharashtra,Mumbai,,,05-30-2020,38220,20629,,,,,16364,1227
Maharashtra,Mumbai,,,05-31-2020,39464,21391,,,,,16794,1279
Maharashtra,Mumbai,,,06-01-2020,40877,22571,,,,,16987,1319
Maharashtra,Mumbai,,,06-02-2020,41986,23405,,,,,17213,1368
Maharashtra,Mumbai,,,06-03-2020,43262,24373,,,,,17472,1417
Maharashtra,Mumbai,,,06-04-2020,44704,25141,,,,,18098,1465
Maharashtra,Mumbai,,,06-05-2020,45854,25539,,,,,18797,1518
Maharashtra,Mumbai,,,06-06-2020,47128,25575,,,,,19978,1575
Maharashtra,Mumbai,,,06-07-2020,48549,25717,,,,,21196,1636
Maharashtra,Mumbai,,,06-08-2020,49863,26125,,,,,22038,1700
Maharashtra,Mumbai,,,06-09-2020,50878,26178,,,,,22942,1758
Maharashtra,Mumbai,,,06-10-2020,52445,26897,,,,,23693,1855
Maharashtra,Mumbai,,,06-11-2020,53985,27824,,,,,24209,1952
Maharashtra,Mumbai,,,06-12-2020,55357,28163,,,,,25152,2042
Maharashtra,Mumbai,,,06-13-2020,56740,28682,,,,,25947,2111
Maharashtra,Mumbai,,,06-14-2020,58135,28959,,,,,26986,2190
Maharashtra,Mumbai,,,06-15-2020,59201,26828,,,,,30125,2248
Maharashtra,Mumbai,,,06-16-2020,60142,25937,,,,,31040,3165
Maharashtra,Mumbai,,,06-17-2020,61501,26921,,,,,31338,3242
Maharashtra,Mumbai,,,06-18-2020,62799,27634,,,,,31856,3309
Maharashtra,Mumbai,,,06-19-2020,64068,28388,,,,,32257,3423
Maharashtra,Mumbai,,,06-20-2020,65265,28839,,,,,32867,3559
