,,,Case Summary,,,,,,,Bed Occupancy Summary,,,,,,,,,,,,,
State,City,Date,Total Cases,Active Cases,Recoveries ,Deaths,Stable Asymptomatic ,Stable Symptomatic,Critical,Total Beds Capacity,Total Beds Occupied,CCC2 Capacity,CCC2 Occupied,DCHC Capacity,DCHC Occupied,DCH Capacity,DCH Occupied,O2 Bed Capacity,O2 Beds Occupied,ICU Bed Capacity,ICU Beds Occupied,Ventilator Bed Capacity,Ventilator Beds Occupied
,,,(Recoveries + Deaths+ Active),(Stable Asymptomatic + Stable Symptomatic + Critical),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-11-2020,1182,1036,71,75,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-12-2020,1399,1211,97,91,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-13-2020,1549,1308,141,100,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-14-2020,1753,1478,164,111,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-15-2020,1936,1642,181,113,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-16-2020,2043,1725,202,116,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-17-2020,2120,1760,239,121,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-18-2020,2509,2103,281,125,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-19-2020,2798,2357,310,131,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-20-2020,3050,2518,394,138,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-21-2020,3445,2887,408,150,,,-40,"5,364","2,588","3,088",975,,,,,,,,,,
Maharashtra,Mumbai,04-22-2020,3754,3169,425,160,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-23-2020,4232,3591,473,168,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-24-2020,4589,3815,595,179,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-25-2020,4870,3917,762,191,"1,477","2,123",-85,"5,288","3,233","2,144","1,079",612,333,"2,532","1,821",,,,,,
Maharashtra,Mumbai,04-26-2020,5194,4188,802,204,"1,756","1,947",-90,"6,099",60,"2,900",45,667,60,"2,532",76,,,,,,
Maharashtra,Mumbai,04-27-2020,5589,4455,915,219,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,04-28-2020,5982,4504,1234,244,"3,128","1,382",-99,"6,503",62%,"3,174",46%,727,60%,"2,602",81%,,,,,,
Maharashtra,Mumbai,04-29-2020,6457,4760,1427,270,"3,200","1,439",-121,"6,607",61%,"3,173",46%,727,62%,"2,707",77%,,,,,,
Maharashtra,Mumbai,04-30-2020,6874,5220,1364,290,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-01-2020,7625,5871,1459,295,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-02-2020,8172,6291,1559,322,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-03-2020,8613,6466,1804,343,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-04-2020,9123,6854,1908,361,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-05-2020,9758,7243,2128,387,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-06-2020,10527,7828,2287,412,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-07-2020,11219,8347,2435,437,"5,224","2,815",-308,"7,833","5,868","4,090","2,480",791,680,"2,952","2,708","8,404","2,739",480,456,248,105
Maharashtra,Mumbai,05-08-2020,11967,8916,2589,462,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-09-2020,12689,9408,2792,489,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-10-2020,13564,10052,3004,508,"6,496","3,185",-367,"8,913","6,877","4,404","2,778",787,734,"3,722","3,365","8,367","2,665",438,397,245,116
Maharashtra,Mumbai,05-11-2020,14355,10717,3110,528,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-12-2020,14781,10912,3313,556,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-13-2020,15581,11194,3791,596,6947,3634,613,8999,7040,4285,2623,893,777,3931,3616,NA,NA,438,417,NA,NA
Maharashtra,Mumbai,05-14-2020,16579,11724,4234,621,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai,05-15-2020,17512,12289,4568,655,7534,4073,682,9836,7208,4691,2643,932,862,4213,3910,NA,NA,474,446,NA,NA
Maharashtra,Mumbai,05-16-2020,18396,12894,4806,696,7723,4528,643,10361,7842,4728,2783,956,894,4677,4165,NA,NA,520,473,NA,NA
Maharashtra,Mumbai,05-17-2020,19967,14221,5012,734,8992,4584,645,10507,8103,4767,2946,984,882,4756,4275,NA,NA,520,473,NA,NA
Maharashtra,Mumbai,05-18-2020,21152,14879,5516,757,9319,4880,680,11016,8539,5117,3191,1100,981,4799,4367,NA,NA,552,510,NA,NA
Maharashtra,Mumbai,05-19-2020,22563,15647,6116,800,9930,4984,733,11274,8683,5138,3148,1079,1007,5030,4528,NA,NA,563,538,NA,NA
Maharashtra,Mumbai,05-20-2020,23935,16628,6466,841,10619,5252,757,11500,8881,5178,3210,1184,974,5138,4697,NA,NA,586,567,NA,NA
Maharashtra,Mumbai,05-21-2020,25317,17684,6751,882,11477,5420,787,11577,9329,5179,3414,1206,1012,5192,4903,NA,NA,586,567,NA,NA
Maharashtra,Mumbai,05-22-2020,27068,19079,7080,909,12825,5482,772,12062,9878,5490,3658,1246,1075,5326,5145,8367*,NA,597,583,335,198
