date,state,fips,cases,deaths,cfr,prev_day_cases,n-2,n-3,r,r_smooth,delta_c,Rt,Rt_smooth
2020-03-01,New York,36,1,0,0,,,,,,,,
2020-03-02,New York,36,1,0,0,1,,,1,2.833333333,0,1,374494.8512
2020-03-03,New York,36,2,0,0,1,1,,2,2.625,1,1096.633158,87116.36215
2020-03-04,New York,36,11,0,0,2,1,1,5.5,2.5,9,47893456332464,36315.50267
2020-03-05,New York,36,22,0,0,11,2,1,2,2.704545455,11,1096.633158,152027.7246
2020-03-06,New York,36,44,0,0,22,11,2,2,2.542747702,22,1096.633158,48983.26128
2020-03-07,New York,36,89,0,0,44,22,11,2.022727273,1.71067223,45,1285.741545,144.7062189
2020-03-08,New York,36,106,0,0,89,44,22,1.191011236,1.554334202,17,3.80790303,48.44065367
2020-03-09,New York,36,142,0,0,106,89,44,1.339622642,1.405201254,36,10.77639927,17.05440925
2020-03-10,New York,36,173,0,0,142,106,89,1.218309859,1.301116629,31,4.609728742,8.23025009
2020-03-11,New York,36,217,0,0,173,142,106,1.25433526,1.32119659,44,5.931913373,9.472341505
2020-03-12,New York,36,326,0,0,217,173,142,1.502304147,1.343058285,109,33.65390282,11.03870791
2020-03-13,New York,36,421,0,0,326,217,173,1.291411043,1.339396313,95,7.689665624,10.75933978
2020-03-14,New York,36,610,2,0.003278688525,421,326,217,1.448931116,1.348092103,189,23.16211141,11.43460999
2020-03-15,New York,36,732,6,0.008196721311,610,421,326,1.2,1.336894431,122,4.055199967,10.57254999
2020-03-16,New York,36,950,10,0.01052631579,732,610,421,1.297814208,1.425337114,218,8.042174072,19.63590533
2020-03-17,New York,36,1374,17,0.01237263464,950,732,610,1.446315789,1.4841655,424,22.74193385,29.64099884
2020-03-18,New York,36,2382,27,0.01133501259,1374,950,732,1.733624454,1.586265693,1008,169.9273817,60.57364197
2020-03-19,New York,36,4152,30,0.007225433526,2382,1374,950,1.743073048,1.61833901,1770,181.5464121,75.82083088
2020-03-20,New York,36,7102,57,0.008025908195,4152,2382,1374,1.710500963,1.622007486,2950,144.5328394,77.7930737
2020-03-21,New York,36,10356,80,0.007724990344,7102,4152,2382,1.458180794,1.550533122,3254,24.71142183,47.16876223
2020-03-22,New York,36,15168,122,0.008043248945,10356,7102,4152,1.464658169,1.447810728,4812,25.85766781,22.98116801
2020-03-23,New York,36,20875,159,0.007616766467,15168,10356,7102,1.376252637,1.363384411,5707,13.92615128,12.72655651
2020-03-24,New York,36,25665,218,0.008494058056,20875,15168,10356,1.229461078,1.307561474,4790,4.983973901,8.610051644
2020-03-25,New York,36,33066,325,0.009828827194,25665,20875,15168,1.288369375,1.2436036,7401,7.527670433,5.502624736
2020-03-26,New York,36,38987,432,0.01108061662,33066,25665,20875,1.17906611,1.207461396,5921,3.502450167,4.272630897
2020-03-27,New York,36,44635,535,0.01198610956,38987,33066,25665,1.144868802,1.184824994,5648,2.756830408,3.646526101
2020-03-28,New York,36,53363,782,0.01465434852,44635,38987,33066,1.195541615,1.152688321,8728,3.930596939,2.911936271
2020-03-29,New York,36,59568,965,0.01619997314,53363,44635,38987,1.11627907,1.146093873,6205,2.256812655,2.780573256
2020-03-30,New York,36,67174,1224,0.01822133564,59568,53363,44635,1.127686006,1.14650223,7606,2.444405738,2.788532892
