date,total_infected,deceased,recovered,active
2020-04-11,1182,75,71,1036
2020-04-12,1399,91,97,1211
2020-04-13,1549,100,141,1308
2020-04-14,1753,111,164,1478
2020-04-15,1936,113,181,1642
2020-04-16,2043,116,202,1725
2020-04-17,2120,121,239,1760
2020-04-18,2509,125,281,2103
2020-04-19,2798,131,310,2357
2020-04-20,3050,138,394,2518
2020-04-21,3445,150,408,2887
2020-04-22,3754,160,425,3169
2020-04-23,4232,168,473,3591
2020-04-24,4589,179,595,3815
2020-04-25,4870,191,762,3917
2020-04-26,5194,204,802,4188
2020-04-27,5589,219,915,4455
2020-04-28,5982,244,1234,4504
2020-04-29,6457,270,1427,4760
2020-04-30,6874,290,1364,5220
2020-05-01,7625,295,1459,5871
2020-05-02,8172,322,1559,6291
2020-05-03,8613,343,1804,6466
2020-05-04,9123,361,1908,6854
2020-05-05,9758,387,2128,7243
2020-05-06,10527,412,2287,7828
2020-05-07,11219,437,2435,8347
2020-05-08,11967,462,2589,8916
2020-05-09,12689,489,2792,9408
2020-05-10,13564,508,3004,10052
2020-05-11,14355,528,3110,10717
2020-05-12,14781,556,3313,10912
2020-05-13,15581,596,3791,11194
