state,district,date,total,active,recovered,deceased
Jharkhand,Ramgarh,03-30-2020,0,0,0,0
Jharkhand,Ramgarh,03-31-2020,0,0,0,0
Jharkhand,Ramgarh,04-01-2020,0,0,0,0
Jharkhand,Ramgarh,04-02-2020,0,0,0,0
Jharkhand,Ramgarh,04-03-2020,0,0,0,0
Jharkhand,Ramgarh,04-04-2020,0,0,0,0
Jharkhand,Ramgarh,04-05-2020,0,0,0,0
Jharkhand,Ramgarh,04-06-2020,0,0,0,0
Jharkhand,Ramgarh,04-07-2020,0,0,0,0
Jharkhand,Ramgarh,04-08-2020,0,0,0,0
Jharkhand,Ramgarh,04-09-2020,0,0,0,0
Jharkhand,Ramgarh,04-10-2020,0,0,0,0
Jharkhand,Ramgarh,04-11-2020,0,0,0,0
Jharkhand,Ramgarh,04-12-2020,0,0,0,0
Jharkhand,Ramgarh,04-13-2020,0,0,0,0
Jharkhand,Ramgarh,04-14-2020,0,0,0,0
Jharkhand,Ramgarh,04-15-2020,0,0,0,0
Jharkhand,Ramgarh,04-16-2020,0,0,0,0
Jharkhand,Ramgarh,04-17-2020,0,0,0,0
Jharkhand,Ramgarh,04-18-2020,0,0,0,0
Jharkhand,Ramgarh,04-19-2020,0,0,0,0
Jharkhand,Ramgarh,04-20-2020,0,0,0,0
Jharkhand,Ramgarh,04-21-2020,0,0,0,0
Jharkhand,Ramgarh,04-22-2020,0,0,0,0
Jharkhand,Ramgarh,04-23-2020,0,0,0,0
Jharkhand,Ramgarh,04-24-2020,0,0,0,0
Jharkhand,Ramgarh,04-25-2020,0,0,0,0
Jharkhand,Ramgarh,04-26-2020,0,0,0,0
Jharkhand,Ramgarh,04-27-2020,0,0,0,0
Jharkhand,Ramgarh,04-28-2020,0,0,0,0
Jharkhand,Ramgarh,04-29-2020,0,0,0,0
Jharkhand,Ramgarh,04-30-2020,0,0,0,0
Jharkhand,Ramgarh,05-01-2020,0,0,0,0
Jharkhand,Ramgarh,05-02-2020,0,0,0,0
Jharkhand,Ramgarh,05-03-2020,0,0,0,0
Jharkhand,Ramgarh,05-04-2020,0,0,0,0
Jharkhand,Ramgarh,05-05-2020,0,0,0,0
Jharkhand,Ramgarh,05-06-2020,0,0,0,0
Jharkhand,Ramgarh,05-07-2020,0,0,0,0
Jharkhand,Ramgarh,05-08-2020,0,0,0,0
Jharkhand,Ramgarh,05-09-2020,0,0,0,0
Jharkhand,Ramgarh,05-10-2020,0,0,0,0
Jharkhand,Ramgarh,05-11-2020,0,0,0,0
Jharkhand,Ramgarh,05-12-2020,0,0,0,0
Jharkhand,Ramgarh,05-13-2020,0,0,0,0
Jharkhand,Ramgarh,05-14-2020,0,0,0,0
Jharkhand,Ramgarh,05-15-2020,0,0,0,0
Jharkhand,Ramgarh,05-16-2020,0,0,0,0
Jharkhand,Ramgarh,05-17-2020,2,2,0,0
Jharkhand,Ramgarh,05-18-2020,2,2,0,0
Jharkhand,Ramgarh,05-19-2020,3,3,0,0
Jharkhand,Ramgarh,05-20-2020,3,3,0,0
Jharkhand,Ramgarh,05-21-2020,3,3,0,0
Jharkhand,Ramgarh,05-22-2020,6,6,0,0
